Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
The Stranger,Albert Camus,4.02,1096346,2717
Atonement,Ian McEwan (Goodreads Author),3.94,519986,2635
The Brothers Karamazov,Fyodor Dostoevsky,4.37,332657,2530
Mrs. Dalloway,Virginia Woolf,3.79,306853,2498
"The Shining (The Shining, #1)",Stephen King (Goodreads Author),4.27,1490369,2477
The Wind in the Willows,Kenneth Grahame,4.01,218489,2432
Robinson Crusoe,Daniel Defoe,3.68,304848,2310
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,581223,2295
The Road,Cormac McCarthy,3.99,905396,2274
All Quiet on the Western Front,Erich Maria Remarque,4.07,460441,2274
The Man Without Qualities,Robert Musil,4.19,6739,2241
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,444935,2183
The Plague,Albert Camus,4.02,264045,2139
A Confederacy of Dunces,John Kennedy Toole,3.89,275633,2093
Bleak House,Charles Dickens,4.02,108685,2075
The Time Machine,H.G. Wells,3.9,519424,2037
A Farewell to Arms,Ernest Hemingway,3.82,322040,2016
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,4,423970,1984
Vanity Fair,William Makepeace Thackeray,3.8,128207,1959
Persuasion,Jane Austen,4.15,702858,1909
Les Misérables,Victor Hugo,4.2,798061,1887
Heart of Darkness,Joseph Conrad,3.43,513416,1880
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,452292,1853
A Room with a View,E.M. Forster,3.9,184101,1818
The Left Hand of Darkness,Ursula K. Le Guin,4.1,182272,1815
The Woman in White,Wilkie Collins,4.01,154495,1795
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,161377,1793
Dracula,Bram Stoker,4.01,1276133,1778
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding (Goodreads Author),3.8,983414,1755
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,3.84,72705,1697
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.73,372248,1690
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.27,274742,1687
Jonathan Strange & Mr. Norrell,Susanna Clarke,3.86,236504,1576
The Prime of Miss Jean Brodie,Muriel Spark,3.71,54774,1566
The Three Musketeers,Alexandre Dumas,4.09,322705,1546
The War of the Worlds,H.G. Wells,3.83,314362,1503
"Moby-Dick or, The Whale",Herman Melville,3.54,561178,1501
Invisible Man,Ralph Ellison,3.91,187981,1495
A Tree Grows in Brooklyn,Betty  Smith,4.29,465960,1487
Flowers for Algernon,Daniel Keyes,4.21,672225,1464
Treasure Island,Robert Louis Stevenson,3.84,489666,1456
The Scarlet Pimpernel,Emmuska Orczy,4.07,135482,1425
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01,317620,1391
The Heart Is a Lonely Hunter,Carson McCullers,3.99,110269,1390
A Prayer for Owen Meany,John Irving (Goodreads Author),4.24,321041,1373
North and South,Elizabeth Gaskell,4.15,170075,1325
Beloved,Toni Morrison,3.95,435894,1306
Stranger in a Strange Land,Robert A. Heinlein,3.92,312809,1276
Tess of the D’Urbervilles,Thomas Hardy,3.83,283730,1260
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.9,157105,1247
Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.06,53359,1245
The God of Small Things,Arundhati Roy (Goodreads Author),3.95,298251,1230
The Blind Assassin,Margaret Atwood (Goodreads Author),3.96,155551,1227
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85,264966,1201
Fathers and Sons,Ivan Turgenev,3.99,89534,1197
A Passage to India,E.M. Forster,3.68,80396,1181
I Capture the Castle,Dodie Smith,4,104443,1166
Possession,A.S. Byatt,3.89,80243,1165
"Tinker, Tailor, Soldier, Spy",John le Carré,4.06,94614,1152
Middlemarch,George Eliot,4.02,163041,1140
Black Beauty,Anna Sewell,3.99,278536,1125
Schindler's Ark,Thomas Keneally,4.34,160251,1120
"American Gods (American Gods, #1)",Neil Gaiman (Goodreads Author),4.11,925922,1113
The Wind-Up Bird Chronicle,Haruki Murakami,4.15,283709,1104
Foucault’s Pendulum,Umberto Eco,3.91,70097,1097
The End of the Affair,Graham Greene,3.9,64576,1093
For Whom the Bell Tolls,Ernest Hemingway,3.98,293747,1086
"The Sword in the Stone (The Once and Future King, #1)",T.H. White,3.89,26602,1078
The Thin Man,Dashiell Hammett,3.91,35303,1075
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.95,155485,1072
Jude the Obscure,Thomas Hardy,3.83,71846,1065
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,4.02,135450,1052
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.98,109633,1051
"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,3.91,34152,1036
To the Lighthouse,Virginia Woolf,3.8,183573,1027
Childhood’s End,Arthur C. Clarke,4.12,159538,1027
The Leopard,Giuseppe Tomasi di Lampedusa,4.01,37270,1016
"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,4.17,55854,1007
Fight Club,Chuck Palahniuk (Goodreads Author),4.19,592100,992
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),4.43,1530997,975
Hunger,Knut Hamsun,4.05,56030,975
A Portrait of the Artist as a Young Man,James Joyce,3.64,151992,970
Memoirs of a Geisha,Arthur Golden,4.15,2001971,965
Our Man in Havana,Graham Greene,3.94,36115,954
Cold Comfort Farm,Stella Gibbons,3.89,50600,942
Their Eyes Were Watching God,Zora Neale Hurston,3.98,347535,931
The Tin Drum,Günter Grass,3.95,44089,928
If on a Winter's Night a Traveler,Italo Calvino,4.03,98040,923
The Complete Maus,Art Spiegelman,4.57,220493,917
My Name Is Red,Orhan Pamuk,3.87,56481,908
Portnoy’s Complaint,Philip Roth,3.71,68434,906
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,230493,904
"Cry, the Beloved Country",Alan Paton,3.92,74823,891
The Wasp Factory,Iain Banks,3.77,96941,891
Snow Crash,Neal Stephenson (Goodreads Author),4.02,280235,890
Brighton Rock,Graham Greene,3.7,32124,884
Dead Souls,Nikolai Gogol,3.98,85069,879
"Foundation (Foundation, #1)",Isaac Asimov,4.17,539593,875
"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,4.32,28684,865
"The Commitments (The Barrytown Trilogy, #1; Jimmy Rabbitte, #1)",Roddy Doyle,3.93,16382,856
"The Giver (The Giver, #1)",Lois Lowry (Goodreads Author),4.12,2481009,851
We,Yevgeny Zamyatin,3.89,97326,841
A Connecticut Yankee in King Arthur's Court,Mark Twain,3.77,103530,836
The Magus,John Fowles,4.05,58639,832
Suite Francaise,Irène Némirovsky,3.85,74194,830
High Fidelity,Nick Hornby,3.91,201637,821
A Fine Balance,Rohinton Mistry,4.37,149546,821
The House of Mirth,Edith Wharton,3.97,97978,820
Cloud Atlas,David Mitchell,4.01,248920,819
The Mayor of Casterbridge,Thomas Hardy,3.86,62448,816
The Thorn Birds,Colleen McCullough,4.24,350084,804
The Turn of the Screw,Henry James,3.39,156165,797
American Psycho,Bret Easton Ellis,3.81,314447,789
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,227457,783
Fatherland,Robert   Harris (Goodreads Author),4.01,47813,769
"Regeneration (Regeneration, #1)",Pat Barker,4.02,31091,765
Tintin in Tibet (Tintin #20),Hergé,4.23,17986,762
My Cousin Rachel,Daphne du Maurier,4,59200,754
"The 39 Steps (Richard Hannay, #1)",John Buchan,3.6,41189,753
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.1,167256,745
Fingersmith,Sarah Waters,4.02,106299,743
The Shipping News,Annie Proulx,3.88,146141,742
Howards End,E.M. Forster,3.96,89699,732
Oliver Twist,Charles Dickens,3.88,389006,732
The Island of Dr. Moreau,H.G. Wells,3.73,121069,730
The Magic Mountain,Thomas Mann,4.13,49514,716
Solaris,Stanisław Lem,3.99,107762,715
"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,166396,712
House of Leaves,Mark Z. Danielewski (Goodreads Author),4.09,170302,711
Death in Venice and Other Tales,Thomas Mann,3.9,16772,708
Peter Pan,J.M. Barrie,4.04,347522,708
"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,4.28,20729,705
The Haunting of Hill House,Shirley Jackson,3.82,303821,702
Lady Chatterley's Lover,D.H. Lawrence,3.5,125708,699
A Handful of Dust,Evelyn Waugh,3.9,26381,697
"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,4.19,42511,693
The Idiot,Fyodor Dostoevsky,4.21,182963,689
The Moonstone,Wilkie Collins,3.91,93166,679
"The History of Tom Jones, a Foundling",Henry Fielding,3.75,33364,664
White Teeth,Zadie Smith,3.79,157634,658
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,3.73,21804,656
The Man in the High Castle,Philip K. Dick,3.6,212974,650
East of Eden,John Steinbeck,4.41,539453,644
Native Son,Richard Wright,4.03,99150,643
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.08,110160,635
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19,76718,632
Empire of the Sun,J.G. Ballard,3.98,20667,626
The Constant Gardener,John le Carré,3.82,28357,624
Oblomov,Ivan Goncharov,4.12,38695,622
Naked Lunch,William S. Burroughs,3.46,91302,619
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,202747,616
The Red Badge of Courage,Stephen Crane,3.29,104373,609
Scoop,Evelyn Waugh,3.8,20778,596
Orlando,Virginia Woolf,3.87,93305,590
Lucky Jim,Kingsley Amis,3.75,29860,578
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.1,959063,574
"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,4.17,23222,573
The Sound and the Fury,William Faulkner,3.85,182173,571
Disgrace,J.M. Coetzee,3.85,106413,568
Northanger Abbey,Jane Austen,3.85,401445,565
A History of the World in 10½  Chapters,Julian Barnes,3.88,15405,560
"Asterix the Gaul (Asterix, #1)",René Goscinny,4.18,30475,555
Misery,Stephen King (Goodreads Author),4.21,699059,555
"Neuromancer (Sprawl, #1)",William Gibson,3.9,327237,547
Germinal,Émile Zola,4.19,37829,543
The Third Man,Graham Greene,3.8,14946,534
I Am Legend and Other Stories,Richard Matheson,4,131370,531
The Beach,Alex Garland,3.97,87553,530
The English Patient,Michael Ondaatje,3.87,132071,529
Mansfield Park,Jane Austen,3.86,349910,526
The Day of the Triffids,John Wyndham,4.01,107675,525
Blindness,José Saramago,4.17,290071,519
The Uncommon Reader,Alan Bennett,3.74,53723,516
Molloy,Samuel Beckett,4.04,8599,514
The Witches of Eastwick,John Updike,3.23,17311,506
"Titus Groan (Gormenghast, #1)",Mervyn Peake,3.92,20745,498
Miss Smilla's Feeling for Snow,Peter Høeg,3.74,49205,498
Barchester Towers (Chronicles of Barsetshire #2),Anthony Trollope,4.05,16667,491
The Maltese Falcon,Dashiell Hammett,3.88,107081,488
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.53,191091,483
The Pickwick Papers,Charles Dickens,3.85,29784,482
Notes from Underground,Fyodor Dostoevsky,4.18,161266,479
The Bonfire of the Vanities,Tom Wolfe,3.9,80910,478
The Age of Innocence,Edith Wharton,3.97,174692,475
Ivanhoe,Walter Scott,3.76,94820,466
Carrie's War,Nina Bawden,3.92,8756,464
The Stars My Destination,Alfred Bester,4.07,51344,461
The Andromeda Strain,Michael Crichton,3.91,255876,459
"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,4.06,53961,457
Travels with My Aunt,Graham Greene,3.81,15222,456
Flaubert's Parrot,Julian Barnes,3.65,15411,450
Far From the Madding Crowd,Thomas Hardy,3.96,153419,448
Kindred,Octavia E. Butler,4.3,218331,443
"Thank You, Jeeves (Jeeves, #5)",P.G. Wodehouse,4.18,18238,442
The Reader,Bernhard Schlink,3.78,210955,442
Enduring Love,Ian McEwan (Goodreads Author),3.64,44597,438
The Jungle,Upton Sinclair,3.77,145571,434
"Ringworld (Ringworld, #1)",Larry Niven,3.95,121697,433
The French Lieutenant's Woman,John Fowles,3.88,52983,429
"The Secret Diary of Adrian Mole, Aged 13 3/4  (Adrian Mole, #1)",Sue Townsend,3.88,48992,424
The Mill on the Floss,George Eliot,3.82,55356,423
Little Dorrit,Charles Dickens,4,47848,422
Palace Walk (The Cairo Trilogy #1),Naguib Mahfouz,4.19,19939,418
"Casino Royale (James Bond, #1)",Ian Fleming,3.74,85038,416
My Name Is Asher Lev,Chaim Potok,4.23,41407,413
Le Grand Meaulnes,Alain-Fournier,3.72,13359,411
"The Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,4.05,188998,411
Of Human Bondage,W. Somerset Maugham,4.14,57123,409
True History of the Kelly Gang,Peter Carey,3.83,22803,407
Cat’s Eye,Margaret Atwood (Goodreads Author),3.94,68325,407
A Kestrel for a Knave,Barry Hines,4.05,6848,400
The Power and the Glory,Graham Greene,3.98,39550,398
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,4.04,67609,398
Journey to the Center of the Earth,Jules Verne,3.85,200541,395
Midnight’s Children,Salman Rushdie,3.98,123843,393
Zorba the Greek,Nikos Kazantzakis,4.05,51560,387
The Postman Always Rings Twice,James M. Cain,3.77,43329,384
"Tales of the City (Tales of the City, #1)",Armistead Maupin,4,44325,383
Sister Carrie,Theodore Dreiser,3.77,40158,372
The Third Policeman,Flann O'Brien,3.98,20423,370
Wide Sargasso Sea,Jean Rhys,3.59,92995,370
Silas Marner,George Eliot,3.68,87035,368
Only Forward,Michael Marshall Smith (Goodreads Author),4.22,5822,368
"Love Story (Love Story, #1)",Erich Segal,3.64,60626,368
The Far Pavilions,M.M. Kaye,4.2,44010,368
Vurt,Jeff Noon,4.04,9740,363
The Glass Bead Game,Hermann Hesse,4.11,38710,356
"Devil in a Blue Dress (Easy Rawlins, #1)",Walter Mosley,3.87,27033,352
Père Goriot,Honoré de Balzac,3.85,59505,349
A High Wind in Jamaica,Richard Hughes,3.77,9902,348
Journey to the End of the Night,Louis-Ferdinand Céline,4.19,42112,346
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.06,333572,343
"The Prisoner of Zenda (The Ruritania Trilogy, #2)",Anthony Hope,3.84,21338,342
Cakes and Ale,W. Somerset Maugham,3.78,7302,339
Everything Is Illuminated,Jonathan Safran Foer (Goodreads Author),3.89,179626,336
The Fall,Albert Camus,4.04,106704,335
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,3.83,40961,334
The Night Watch,Sarah Waters,3.7,31300,331
Bonjour tristesse,Françoise Sagan,3.71,51297,323
The Day of the Jackal,Frederick Forsyth,4.27,134294,317
Babbitt,Sinclair Lewis,3.69,23609,308
Unless,Carol Shields,3.63,16380,307
The Sirens of Titan,Kurt Vonnegut Jr.,4.15,141589,307
"Consider Phlebas (Culture, #1)",Iain M. Banks,3.85,91273,306
"A Dance to the Music of Time, Complete Set: 1st Movement, 2nd Movement, 3rd Movement, 4th Movement",Anthony Powell,4.41,150,305
A Town Like Alice,Nevil Shute,4.15,58031,305
Jacques the Fatalist,Denis Diderot,3.8,8804,300
The Golden Notebook,Doris Lessing,3.77,23028,297
McTeague: A Story of San Francisco,Frank Norris,3.68,6441,295
The Crying of Lot 49,Thomas Pynchon,3.69,86863,293
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.94,90889,292
How Green Was My Valley,Richard Llewellyn,4.2,17434,291
Steppenwolf,Hermann Hesse,4.13,185683,290
"The Ipcress File (Secret File, #1)",Len Deighton,3.93,16899,289
Lake Wobegon Days,Garrison Keillor,3.64,8027,288
"A Time to Kill (Jake Brigance, #1)",John Grisham (Goodreads Author),4.11,801386,287
Excellent Women,Barbara Pym,3.92,17602,287
Oranges Are Not the Only Fruit,Jeanette Winterson,3.73,79788,283
The Call of the Wild,Jack London,3.9,430632,280
The Passion of New Eve,Angela Carter,3.66,4686,278
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,4.07,57797,278
Riddley Walker,Russell Hoban,4.02,8145,274
The Crab with the Golden Claws (Tintin #9),Hergé,4.09,14367,273
The Piano Teacher,Elfriede Jelinek,3.58,12962,271
They Were Counted,Miklós Bánffy,4.19,1335,268
The Return of the Soldier,Rebecca West,3.69,8227,264
"The Siege of Krishnapur (Empire Trilogy, #2)",J.G. Farrell,3.92,7762,261
"The Laughing Policeman (Martin Beck, #4)",Maj Sjöwall,3.99,10003,260
"You Only Live Twice (James Bond, #12)",Ian Fleming,3.75,14765,260
Doctor Zhivago,Boris Pasternak,4.01,96804,259
Pnin,Vladimir Nabokov,3.89,24929,258
Monkey: The Journey to the West,Wu Cheng'en,4.04,6922,258
The New York Trilogy: City of Glass / Ghosts / The Locked Room,Paul Auster,3.87,74794,258
"Goldfinger (James Bond, #7)",Ian Fleming,3.83,24762,257
Kidnapped,Robert Louis Stevenson,3.79,64696,256
Decline and Fall,Evelyn Waugh,3.83,14346,255
The Girls of Slender Means,Muriel Spark,3.65,7348,254
Invisible Cities,Italo Calvino,4.12,83930,254
The Little World of Don Camillo,Giovannino Guareschi,4.21,3896,251
Girlfriend in a Coma,Douglas Coupland (Goodreads Author),3.62,19541,251
The Midwich Cuckoos,John Wyndham,3.91,25667,249
The Caine Mutiny,Herman Wouk,4.28,25197,247
Effi Briest,Theodor Fontane,3.26,14090,245
The Children of Men,P.D. James,3.67,48027,242
Weaveworld,Clive Barker (Goodreads Author),4.13,32341,241
The Baron in the Trees,Italo Calvino,4.03,45096,240
American Pastoral,Philip Roth,3.94,80075,240
Around the World in Eighty Days,Jules Verne,3.94,248021,240
The Machine-Gunners,Robert Westall,3.94,2410,238
A Bend in the River,V.S. Naipaul,3.77,17690,237
Waiting for the Barbarians,J.M. Coetzee,3.93,32170,236
The Satanic Verses,Salman Rushdie,3.71,65752,236
Dombey and Son,Charles Dickens,3.96,15795,235
Cold Mountain,Charles Frazier,3.88,242799,235
The Good Companions,J.B. Priestley,4.13,718,234
Voss,Patrick White,3.77,3253,234
Under the Skin,Michel Faber,3.75,26352,233
Oscar and Lucinda,Peter Carey,3.73,21158,233
The Life and Loves of a She Devil,Fay Weldon,3.76,5802,233
Hard Times,Charles Dickens,3.54,68473,232
Birdsong,Sebastian Faulks,4.1,78741,230
Lolly Willowes,Sylvia Townsend Warner,3.71,9572,229
We Need to Talk About Kevin,Lionel Shriver (Goodreads Author),4.08,195261,227
The Secret Agent,Joseph Conrad,3.59,22751,225
"Postmortem (Kay Scarpetta, #1)",Patricia Cornwell (Goodreads Author),4.03,243668,225
The Ragged Trousered Philanthropists,Robert Tressell,4.04,9677,224
Zuleika Dobson,Max Beerbohm,3.53,4724,224
Elmer Gantry,Sinclair Lewis,4.01,5892,223
Middlesex,Jeffrey Eugenides,4.03,639347,223
The House of the Seven Gables,Nathaniel Hawthorne,3.45,39924,222
Call It Sleep,Henry Roth,3.81,8604,222
"The L-Shaped Room (Jane Graham, #1)",Lynne Reid Banks,3.97,3251,222
Buddenbrooks: The Decline of a Family,Thomas Mann,4.19,30375,220
The Horse's Mouth,Joyce Cary,3.97,1525,217
Sons and Lovers,D.H. Lawrence,3.64,53154,217
Deliverance,James Dickey,3.89,32581,216
Cranford,Elizabeth Gaskell,3.84,44069,214
Microserfs,Douglas Coupland (Goodreads Author),3.89,24173,214
Pale Fire,Vladimir Nabokov,4.17,50807,212
"The Scar (New Crobuzon, #2)",China Miéville (Goodreads Author),4.18,32526,210
Remembering Babylon,David Malouf,3.48,3444,207
Passing,Nella Larsen,3.93,65388,207
South Riding,Winifred Holtby,3.98,3159,206
The Drowned World,J.G. Ballard,3.48,18422,205
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,260708,203
The Monk,Matthew Gregory Lewis,3.83,28812,201
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,4.12,48145,200
The Things They Carried,Tim O'Brien,4.14,313843,199
Joseph Andrews / Shamela,Henry Fielding,3.28,2647,198
Air,Geoff Ryman,3.59,2467,197
Finnegans Wake,James Joyce,3.68,12884,196
"Memed, My Hawk (İnce Memed, #1)",Yaşar Kemal,4.48,10629,195
The Sheltering Sky,Paul Bowles,3.89,28349,195
Love in a Cold Climate,Nancy Mitford,3.82,9081,195
"An Infamous Army (Alastair-Audley, #4)",Georgette Heyer,3.7,4634,193
Behind the Scenes at the Museum,Kate Atkinson,3.97,40165,193
Martin Chuzzlewit,Charles Dickens,3.83,16344,192
Queen Lucia,E.F. Benson,3.93,5062,192
Fair Stood the Wind for France,H.E. Bates,3.99,1975,192
Tender is the Night,F. Scott Fitzgerald,3.79,136662,190
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,3.67,8809,189
Shame,Salman Rushdie,3.86,12341,188
"Sunset Song (A Scots Quair, #1)",Lewis Grassic Gibbon,4.01,4972,188
The Fountain Overflows,Rebecca West,3.71,3089,188
An American Tragedy,Theodore Dreiser,3.96,36851,188
The First Discworld Novels: The Colour of Magic and the Light Fantastic,Terry Pratchett,4.14,7459,185
U.S.A.: The 42nd Parallel / 1919 / The Big Money,John Dos Passos,4.11,4879,185
Go Tell It on the Mountain,James Baldwin,4.04,68629,185
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.81,57606,184
On Beauty,Zadie Smith,3.77,82372,184
Uncle Silas,J. Sheridan Le Fanu,3.73,6576,183
The Day of the Locust,Nathanael West,3.71,22617,183
The Way of All Flesh,Samuel Butler,3.61,9221,183
Piccadilly Jim,P.G. Wodehouse,4.03,5065,182
The Female Man,Joanna Russ,3.48,7840,181
Infinite Jest,David Foster Wallace,4.26,91966,180
The Secret History,Donna Tartt,4.17,744015,180
"The Mask of Dimitrios (Charles Latimer, #1)",Eric Ambler,3.92,10255,179
Underworld,Don DeLillo,3.94,31416,178
Nights at the Circus,Angela Carter,3.88,13349,177
"Gilead (Gilead, #1)",Marilynne Robinson,3.85,110426,177
The Balkan Trilogy,Olivia Manning,4.16,2620,176
The Castle of Otranto,Horace Walpole,3.18,35020,175
Ali and Nino,Kurban Said,3.92,8324,175
Berlin Alexanderplatz,Alfred Döblin,3.85,9816,174
Dolores Claiborne,Stephen King (Goodreads Author),3.92,153508,174
The Recognitions,William Gaddis,4.2,5687,174
"Herland (The Herland Trilogy, #2)",Charlotte Perkins Gilman,3.48,22156,173
The Professor's House,Willa Cather,3.77,9249,173
Billy Liar,Keith Waterhouse,3.73,2147,172
"Rabbit Redux (Rabbit Angstrom, #2)",John Updike,3.81,15687,172
Cider with Rosie,Laurie Lee,3.91,13753,172
Eugénie Grandet,Honoré de Balzac,3.79,23259,172
Spies,Michael Frayn,3.54,6034,172
Regency Buck,Georgette Heyer,3.96,11577,171
Double Indemnity,James M. Cain,4.06,26233,170
"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,3.84,56140,169
Pig Tales,Marie Darrieussecq,3.45,3104,169
Lost Souls,Poppy Z. Brite (Goodreads Author),3.9,18120,168
Victory An Island Tale,Joseph Conrad,3.84,3901,168
The Adventures of Augie March,Saul Bellow,3.84,18128,167
Darkness at Noon,Arthur Koestler,4.11,30659,167
Fun Home: A Family Tragicomic,Alison Bechdel,4.08,181063,165
